experiment_start,2025-05-28 11:13:27
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,bulletproof vest,10.39,50.96,0.0300,16.7,28.5
2,bulletproof vest,7.79,42.19,0.0262,53.1,29.1
3,window screen,9.54,34.05,0.0161,54.3,29.2
4,fire screen,10.53,39.93,0.0462,54.7,29.2
5,brass,11.29,37.80,0.0511,52.1,29.2
6,brass,11.82,33.99,0.0676,52.0,29.2
7,brass,12.33,35.95,0.0684,54.5,29.2
8,brass,12.63,37.14,0.1089,57.0,29.1
9,brass,12.59,32.90,0.1368,56.6,29.1
10,brass,12.32,35.13,0.2235,53.7,29.1
11,brass,11.58,37.00,0.1971,49.8,29.1
12,brass,11.39,30.42,0.2049,49.4,29.1
13,brass,11.35,32.51,0.1973,50.3,29.1
14,brass,11.18,28.92,0.3149,50.0,29.1
15,brass,11.14,30.08,0.2050,49.3,29.1
16,brass,11.04,31.61,0.2271,52.9,29.1
17,brass,10.84,29.10,0.1700,48.1,29.1
18,brass,10.97,31.10,0.2116,50.5,29.1
19,brass,11.02,33.59,0.2020,50.0,29.1
20,brass,10.74,35.74,0.2373,49.3,29.1
21,brass,10.29,34.10,0.2526,48.1,29.1
22,brass,10.35,38.86,0.2589,49.2,29.1
23,brass,10.28,31.98,0.2034,49.4,29.1
24,brass,10.39,34.79,0.2132,57.3,29.1
25,brass,10.30,34.67,0.3033,49.2,29.1
26,brass,10.38,36.25,0.2511,53.9,29.4
27,brass,10.22,36.60,0.3131,53.7,30.1
28,brass,9.95,36.62,0.3203,56.7,31.1
29,brass,9.83,38.06,0.2601,51.4,29.2
30,brass,9.81,36.01,0.2503,50.0,29.2
31,brass,9.83,36.11,0.2739,52.5,29.2
32,brass,9.55,38.04,0.2607,48.8,29.2
33,brass,9.62,34.96,0.2997,50.0,29.2
34,brass,9.66,34.15,0.2479,52.8,29.2
35,brass,9.63,34.70,0.2025,50.3,29.2
36,brass,9.69,36.20,0.2362,50.8,29.2
37,brass,9.73,32.24,0.2535,51.8,29.2
38,brass,9.72,32.11,0.2605,50.6,29.2
39,brass,9.78,33.39,0.2112,51.3,29.2
40,brass,9.86,40.55,0.1756,56.6,29.2
41,brass,9.86,36.42,0.2203,52.4,29.2
42,brass,9.29,34.25,0.1891,33.8,29.2
43,brass,9.28,31.96,0.2570,49.7,29.2
44,brass,9.34,32.45,0.1903,52.0,29.2
45,brass,9.31,33.52,0.2695,53.8,29.2
46,brass,9.34,39.72,0.2058,51.0,29.2
47,brass,9.38,37.33,0.1907,52.9,29.2
48,brass,9.35,36.09,0.2148,50.3,29.2
49,brass,9.36,41.07,0.1808,50.3,29.2
50,brass,9.36,36.71,0.1954,52.0,29.2
51,brass,9.35,35.25,0.2333,50.6,29.2
52,brass,9.40,36.46,0.2234,53.1,29.2
53,brass,9.41,41.24,0.2225,52.2,29.2
54,brass,9.39,39.37,0.2113,50.3,29.2
55,brass,9.39,40.34,0.2051,53.0,29.2
56,brass,9.40,38.96,0.2025,53.0,29.2
57,brass,9.25,35.93,0.1800,48.3,29.2
58,brass,9.14,34.89,0.2160,49.7,29.2
59,brass,9.11,36.70,0.2375,50.2,29.2
60,brass,9.08,34.51,0.1867,50.7,29.2
61,brass,9.06,38.61,0.2044,48.2,29.2
62,brass,9.08,37.72,0.1772,58.9,29.2
63,brass,9.07,41.08,0.2161,51.6,29.2
64,brass,9.08,35.32,0.1963,49.7,29.2
65,brass,9.09,37.54,0.2332,50.6,29.2
66,brass,9.07,35.72,0.2293,51.5,29.2
67,brass,9.06,37.82,0.2071,50.3,29.2
68,brass,8.94,31.93,0.2547,49.3,29.2
69,brass,8.94,36.18,0.1979,48.3,29.2
70,brass,8.91,38.44,0.2089,50.4,29.2
71,brass,8.93,35.34,0.2600,53.2,29.2
72,brass,8.94,34.83,0.2841,49.1,29.2
73,brass,8.97,33.15,0.2310,53.8,29.2
74,brass,9.01,36.42,0.2343,52.9,29.2
75,brass,9.02,43.99,0.2147,54.9,29.2
76,brass,8.95,35.54,0.2133,47.4,29.2
77,brass,8.95,35.84,0.1714,48.9,29.2
78,brass,8.95,34.27,0.0664,51.1,29.2
79,window screen,8.98,33.79,0.0436,50.4,29.2
80,fountain,9.02,44.06,0.0748,59.5,29.2
81,remote control,9.07,40.70,0.0424,58.1,29.2
82,remote control,9.09,42.95,0.2186,53.4,29.2
83,remote control,9.11,36.74,0.8909,55.9,29.2
84,remote control,9.13,39.69,0.8435,53.1,29.2
85,remote control,9.13,39.79,0.9004,48.1,29.2
86,remote control,9.15,39.78,0.8272,54.5,29.2
87,remote control,9.17,39.16,0.8099,52.0,29.2
88,remote control,9.17,38.13,0.8472,51.3,29.2
89,remote control,9.19,39.15,0.8473,51.6,29.2
90,remote control,9.22,39.15,0.8534,54.8,29.2
91,remote control,9.25,40.10,0.9150,51.3,29.2
92,remote control,9.28,40.93,0.8246,55.2,29.2
93,remote control,9.31,36.82,0.8538,50.5,29.2
94,remote control,9.34,37.93,0.8594,53.2,29.2
95,remote control,9.32,38.15,0.9108,53.4,29.2
96,remote control,9.34,38.85,0.8452,52.6,29.2
97,remote control,9.35,38.33,0.7714,52.8,29.2
98,remote control,9.34,36.95,0.7596,51.3,29.2
99,remote control,9.35,38.82,0.8096,51.7,29.2
100,remote control,9.36,37.16,0.6983,56.3,29.2
101,remote control,9.37,38.17,0.8937,50.3,29.2
102,remote control,9.40,36.53,0.8420,50.9,29.2
103,remote control,9.39,41.51,0.8898,56.0,29.2
104,remote control,9.43,38.19,0.8583,57.1,29.2
105,remote control,9.45,37.42,0.8616,54.0,29.2
106,remote control,9.48,33.51,0.7908,53.5,29.2
107,remote control,9.51,43.39,0.7908,52.7,29.2
108,remote control,9.53,38.23,0.7193,51.2,29.2
109,remote control,9.55,41.02,0.6824,55.7,29.2
110,remote control,9.56,37.72,0.6580,50.9,29.2
111,remote control,9.56,39.60,0.8665,51.3,29.2
112,remote control,9.57,43.05,0.8619,50.0,29.2
113,remote control,9.57,36.28,0.8555,54.2,29.2
114,remote control,9.57,32.85,0.8508,52.9,29.2
115,remote control,9.57,38.00,0.8341,50.3,29.2
116,remote control,9.59,42.83,0.7738,54.6,29.2
117,remote control,9.58,45.11,0.7668,53.3,29.2
118,remote control,9.59,45.98,0.7291,52.7,29.2
119,remote control,9.60,49.67,0.6973,57.4,29.2
120,remote control,9.60,49.61,0.6660,51.6,29.2
121,remote control,9.60,40.72,0.6646,53.9,29.2
122,remote control,9.60,44.83,0.6851,53.5,29.2
123,remote control,9.60,47.16,0.6639,52.6,29.2
124,remote control,9.57,53.13,0.6980,53.8,29.2
125,remote control,9.55,48.79,0.6283,54.7,29.2
126,remote control,9.54,49.44,0.6717,52.6,29.2
127,remote control,9.55,41.38,0.5867,52.2,29.2
128,remote control,9.53,43.84,0.6107,50.8,29.2
129,remote control,9.53,49.75,0.5924,56.7,29.2
130,remote control,9.49,77.75,0.6186,53.6,29.2
131,remote control,9.47,45.09,0.5974,52.8,29.2
132,remote control,9.48,40.94,0.6270,52.6,29.2
133,remote control,9.47,41.97,0.6394,50.9,29.2
134,remote control,9.46,41.84,0.6578,51.9,29.2
135,remote control,9.48,41.15,0.6519,54.1,29.2
136,remote control,9.49,47.84,0.6288,55.9,29.2
137,remote control,9.50,44.28,0.6477,54.9,29.2
138,remote control,9.49,46.66,0.6481,51.8,29.2
139,remote control,9.49,45.01,0.6372,55.3,29.2
140,remote control,9.48,44.48,0.6417,49.2,29.2
141,remote control,9.48,44.53,0.7123,52.3,29.2
142,remote control,9.46,46.69,0.7497,52.4,29.2
143,remote control,9.45,44.26,0.7219,55.6,29.2
144,remote control,9.46,43.53,0.8227,55.5,29.2
145,remote control,9.47,46.09,0.8614,55.4,29.2
146,remote control,9.47,44.31,0.9167,52.3,29.2
147,remote control,9.47,45.85,0.9260,56.2,29.2
148,remote control,9.45,53.05,0.8801,49.8,29.2
149,remote control,9.46,42.18,0.7522,51.9,29.2
150,remote control,9.47,45.67,0.7695,55.6,29.2
151,remote control,9.46,46.80,0.8151,49.7,29.2
152,remote control,9.44,43.55,0.8209,53.3,29.2
153,remote control,9.44,43.97,0.8342,54.2,29.2
154,remote control,9.43,47.52,0.8588,50.3,29.2
155,remote control,9.45,41.08,0.7186,57.0,29.2
156,remote control,9.43,46.01,0.8273,49.5,29.2
157,remote control,9.44,47.29,0.6758,51.7,29.2
158,remote control,9.44,50.34,0.6756,53.8,29.2
159,remote control,9.44,46.98,0.5966,55.8,29.2
160,remote control,9.45,49.00,0.5647,54.5,29.2
161,remote control,9.45,54.66,0.5921,52.3,29.2
162,remote control,9.46,53.52,0.5549,58.5,29.2
163,remote control,9.46,46.49,0.5989,53.4,29.2
164,remote control,9.46,47.81,0.6644,52.8,29.2
165,remote control,9.47,49.94,0.5659,53.8,29.2
166,remote control,9.48,48.44,0.5549,55.2,29.2
167,remote control,9.48,44.45,0.5335,53.2,29.2
168,remote control,9.48,44.84,0.5696,55.5,29.2
169,remote control,9.47,81.68,0.5561,53.2,29.2
170,remote control,9.48,43.92,0.5791,52.2,29.2
171,remote control,9.49,53.63,0.4012,56.9,29.2
172,paper towel,9.49,47.72,0.1712,52.9,29.2
173,dough,9.50,47.91,0.0444,54.0,29.2
174,geyser,9.50,43.46,0.0283,50.6,29.2
175,bathtub,9.49,47.32,0.0552,52.4,29.2
176,brass,9.50,47.69,0.0561,52.9,29.2
177,brass,9.48,50.12,0.0659,49.3,29.2
178,brass,9.48,49.53,0.1103,54.2,29.2
179,brass,9.46,42.97,0.1295,50.0,29.2
180,brass,9.46,46.94,0.1650,51.7,29.2
181,brass,9.45,48.48,0.1948,54.0,29.2
182,brass,9.45,44.65,0.1867,57.5,29.2
183,brass,9.45,48.32,0.1453,52.1,29.2
184,brass,9.43,44.59,0.2318,54.2,29.2
185,brass,9.44,47.81,0.2037,52.9,29.2
186,brass,9.45,48.83,0.2107,55.8,29.2
187,brass,9.44,48.02,0.2031,51.9,29.2
188,brass,9.45,45.05,0.1197,55.0,29.2
189,toilet tissue,9.44,47.83,0.0358,52.5,29.2
190,bathtub,9.43,56.21,0.0814,51.4,29.2
191,pencil sharpener,9.44,48.34,0.1119,53.4,29.2
192,pencil sharpener,9.45,49.31,0.1062,54.1,29.2
193,saltshaker,9.46,48.14,0.1611,55.9,29.2
194,teapot,9.46,47.48,0.1660,54.2,29.2
195,teapot,9.47,49.16,0.2961,53.7,29.2
196,teapot,9.46,55.54,0.3660,54.3,29.2
197,cup,9.47,46.50,0.1969,52.1,29.2
198,coffee mug,9.47,46.00,0.3341,50.3,29.2
199,coffee mug,9.46,46.18,0.3127,50.9,29.2
200,coffee mug,9.47,47.31,0.2796,53.9,29.2
201,coffee mug,9.46,49.49,0.3131,52.5,29.2
202,coffee mug,9.47,45.16,0.3426,58.3,29.2
203,coffee mug,9.46,43.98,0.3991,52.9,29.2
204,coffee mug,9.44,47.03,0.3858,51.1,29.2
205,coffee mug,9.44,40.96,0.5728,49.7,29.2
206,coffee mug,9.44,42.11,0.5858,53.2,29.2
207,coffee mug,9.44,43.56,0.5296,51.0,29.2
208,coffee mug,9.44,46.48,0.6208,55.0,29.2
209,coffee mug,9.45,44.42,0.6163,51.3,29.2
210,coffee mug,9.45,43.67,0.6159,58.0,29.2
211,coffee mug,9.46,46.56,0.6142,58.5,29.2
212,coffee mug,9.46,50.96,0.6011,50.9,29.2
213,coffee mug,9.46,45.84,0.6096,54.2,29.2
214,coffee mug,9.46,49.35,0.6314,52.0,29.2
215,coffee mug,9.47,48.53,0.6101,54.9,29.2
216,coffee mug,9.47,52.95,0.6139,52.6,29.2
217,coffee mug,9.46,45.29,0.6194,52.0,29.2
218,coffee mug,9.45,45.52,0.6412,51.5,29.2
219,coffee mug,9.44,50.33,0.6030,50.0,29.2
220,coffee mug,9.45,41.39,0.6000,55.0,29.2
221,coffee mug,9.45,46.95,0.6455,54.9,29.2
222,coffee mug,9.46,44.19,0.5589,57.7,29.2
223,coffee mug,9.46,50.25,0.4464,52.4,29.2
224,coffee mug,9.46,45.67,0.3987,51.6,29.2
225,coffee mug,9.46,43.92,0.4385,54.5,29.2
226,coffee mug,9.46,48.21,0.4125,51.9,29.2
227,coffee mug,9.47,53.90,0.4982,52.7,29.2
228,coffee mug,9.48,43.19,0.5608,56.9,29.2
229,coffee mug,9.47,49.15,0.5471,52.3,29.2
230,coffee mug,9.47,54.69,0.4420,52.8,29.2
231,coffee mug,9.48,50.64,0.6077,51.9,29.2
232,coffee mug,9.48,47.75,0.5608,55.7,29.2
233,coffee mug,9.47,55.70,0.5795,52.5,29.2
234,coffee mug,9.47,44.13,0.6016,50.6,29.2
235,coffee mug,9.47,50.05,0.5526,55.8,29.2
236,coffee mug,9.47,47.66,0.5724,54.5,29.2
237,coffee mug,9.46,62.78,0.5612,53.6,29.2
238,coffee mug,9.45,48.53,0.5615,48.3,29.2
239,coffee mug,9.45,47.74,0.5478,53.7,29.2
240,coffee mug,9.46,48.28,0.5345,56.5,29.2
241,coffee mug,9.46,47.45,0.5320,57.1,29.2
242,coffee mug,9.46,52.13,0.5536,52.1,29.2
243,coffee mug,9.46,43.63,0.5474,51.7,29.2
244,coffee mug,9.46,50.94,0.5168,53.4,29.2
245,coffee mug,9.46,46.72,0.5286,54.7,29.2
246,coffee mug,9.47,48.69,0.5468,52.8,29.2
247,coffee mug,9.48,42.97,0.5286,52.6,29.2
248,coffee mug,9.49,55.06,0.5274,54.6,29.2
249,coffee mug,9.50,44.54,0.5319,55.2,29.2
250,coffee mug,9.49,44.57,0.5341,52.3,29.2
251,coffee mug,9.50,45.27,0.5280,55.6,29.2
252,coffee mug,9.50,48.71,0.5277,51.7,29.2
253,coffee mug,9.49,42.06,0.5514,52.2,29.2
254,coffee mug,9.48,50.74,0.5496,53.7,29.2
255,coffee mug,9.48,48.47,0.5723,55.8,29.2
256,coffee mug,9.48,45.22,0.5401,52.8,29.2
257,coffee mug,9.48,46.14,0.5398,52.6,29.2
258,coffee mug,9.48,52.41,0.5624,50.9,29.2
259,coffee mug,9.49,46.27,0.5487,54.0,29.2
260,coffee mug,9.49,44.98,0.5496,52.4,29.2
261,coffee mug,9.49,48.31,0.5370,60.8,29.2
262,coffee mug,9.49,46.33,0.4676,53.9,29.2
263,coffee mug,9.49,45.34,0.5060,53.1,29.2
264,coffee mug,9.50,53.48,0.4935,53.5,29.2
265,coffee mug,9.50,47.25,0.4696,54.3,29.2
266,coffee mug,9.50,44.91,0.4827,51.4,29.2
267,coffee mug,9.50,46.26,0.4700,53.4,29.2
268,coffee mug,9.50,44.04,0.4576,54.2,29.2
269,coffee mug,9.51,46.55,0.4354,54.1,29.2
270,coffee mug,9.51,48.31,0.4803,58.6,29.2
271,coffee mug,9.51,49.91,0.5394,52.7,29.2
272,coffee mug,9.51,48.17,0.5205,56.2,29.2
273,coffee mug,9.51,49.00,0.5423,56.7,29.2
274,coffee mug,9.51,51.94,0.5083,52.3,29.2
275,coffee mug,9.51,51.24,0.4640,56.2,29.2
276,coffee mug,9.52,46.92,0.4984,52.6,29.2
277,coffee mug,9.52,47.18,0.4924,53.5,29.2
278,coffee mug,9.52,47.40,0.4989,55.5,29.2
279,coffee mug,9.52,47.98,0.4706,53.1,29.2
280,coffee mug,9.52,52.46,0.4857,51.6,29.2
281,coffee mug,9.52,48.99,0.5030,52.5,29.2
282,coffee mug,9.52,47.95,0.4864,56.9,29.2
283,coffee mug,9.52,44.80,0.4711,56.3,29.2
284,coffee mug,9.52,45.01,0.4850,56.3,29.2
285,coffee mug,9.52,44.19,0.4879,54.0,29.2
286,coffee mug,9.52,44.81,0.5081,52.1,29.2
287,coffee mug,9.52,48.43,0.4904,59.1,29.2
288,coffee mug,9.53,49.83,0.4942,52.3,29.2
289,coffee mug,9.53,43.08,0.4947,53.1,29.2
290,coffee mug,9.53,44.61,0.5337,54.2,29.2
291,coffee mug,9.53,47.82,0.5591,50.3,29.2
292,coffee mug,9.53,52.42,0.5491,53.3,29.2
293,coffee mug,9.53,47.29,0.5543,53.9,29.2
294,coffee mug,9.53,57.68,0.5341,55.1,29.2
295,coffee mug,9.54,48.31,0.5113,52.2,29.2
296,coffee mug,9.54,48.09,0.5002,55.3,29.2
297,coffee mug,9.55,49.84,0.5336,55.4,29.2
298,coffee mug,9.55,52.49,0.5404,55.4,29.2
299,coffee mug,9.55,49.68,0.5698,50.3,29.2
300,coffee mug,9.55,42.42,0.5488,55.1,29.2
301,coffee mug,9.55,52.09,0.5622,55.2,29.2
302,coffee mug,9.54,63.67,0.5509,59.9,29.2
303,coffee mug,9.54,53.06,0.5468,54.6,29.2
304,coffee mug,9.54,53.93,0.5430,53.4,29.2
305,coffee mug,9.54,48.73,0.5458,54.0,29.2
306,coffee mug,9.55,47.69,0.4864,55.2,29.2
307,coffee mug,9.54,51.79,0.5466,54.4,29.2
308,coffee mug,9.54,51.32,0.6340,55.9,29.2
309,coffee mug,9.53,50.76,0.6194,51.4,29.2
310,coffee mug,9.53,44.71,0.6493,52.7,29.2
311,coffee mug,9.52,55.19,0.3656,52.6,29.2
312,piggy bank,9.52,51.27,0.3443,52.6,29.2
313,geyser,9.52,57.05,0.0280,53.8,29.2
314,bathtub,9.51,52.59,0.0603,52.5,29.2
315,brass,9.51,55.91,0.0372,52.9,29.2
316,brass,9.52,49.91,0.0906,53.2,29.2
317,brass,9.51,45.07,0.1349,53.4,29.2
318,brass,9.51,50.97,0.1803,52.8,29.2
319,brass,9.51,45.40,0.1653,54.1,29.2
320,brass,9.49,54.70,0.2234,54.2,29.2
321,brass,9.48,44.96,0.1415,53.7,29.2
322,brass,9.48,47.39,0.1433,54.7,29.2
323,brass,9.48,43.69,0.1996,50.5,29.2
324,brass,9.47,46.82,0.1704,53.5,29.2
325,brass,9.47,48.05,0.2030,55.9,29.2
326,brass,9.47,45.08,0.1788,51.8,29.2
327,brass,9.46,54.22,0.1817,53.0,29.2
328,brass,9.46,46.92,0.1693,49.7,29.2
329,brass,9.45,52.87,0.1785,54.5,29.2
330,brass,9.45,47.76,0.1862,53.3,29.2
331,brass,9.44,47.97,0.2037,53.5,29.2
332,brass,9.44,47.23,0.1702,52.3,29.2
333,brass,9.44,42.39,0.1490,53.3,29.2
334,brass,9.43,50.13,0.1904,52.6,29.2
335,brass,9.44,44.41,0.1515,52.1,29.2
336,brass,9.43,49.43,0.1248,50.8,29.2
337,brass,9.42,55.79,0.1717,55.8,29.2
338,brass,9.42,48.20,0.1288,57.7,29.2
339,brass,9.41,50.89,0.1667,50.2,29.2
340,brass,9.40,46.53,0.1743,50.7,29.2
341,brass,9.39,53.74,0.2358,52.6,29.2
342,brass,9.38,47.65,0.2690,50.7,29.2
343,brass,9.36,40.74,0.2482,48.6,29.2
344,brass,9.35,49.46,0.2638,50.7,29.2
345,brass,9.34,47.41,0.2277,51.7,29.2
346,brass,9.34,45.98,0.1744,50.9,29.2
347,brass,9.34,47.53,0.2336,52.9,29.2
348,brass,9.34,47.13,0.2601,50.8,29.2
349,brass,9.34,52.20,0.1665,53.0,29.2
350,paper towel,9.33,49.14,0.0572,50.5,29.2
351,radiator,9.33,43.76,0.0669,52.7,29.2
352,pencil box,9.33,51.21,0.0718,53.6,29.2
353,rubber eraser,9.32,49.93,0.0735,53.9,29.2
354,rubber eraser,9.32,48.25,0.0988,53.9,29.2
355,pencil sharpener,9.31,47.19,0.1503,52.3,29.2
356,rubber eraser,9.31,51.87,0.2014,51.6,29.2
357,sunscreen,9.31,44.81,0.1678,55.2,29.2
358,sunscreen,9.31,51.60,0.1818,51.6,29.2
359,sunscreen,9.30,45.14,0.1915,50.7,29.2
360,sunscreen,9.30,54.41,0.3283,51.1,29.2
361,sunscreen,9.29,53.69,0.2518,51.0,29.2
362,lotion,9.30,50.17,0.2667,51.8,29.2
363,lotion,9.30,50.90,0.2574,51.3,29.2
364,lotion,9.30,51.34,0.2612,53.6,29.2
365,lotion,9.30,51.25,0.2335,55.3,29.2
366,sunscreen,9.30,48.01,0.3782,50.6,29.2
367,sunscreen,9.30,46.12,0.4462,54.5,29.2
368,sunscreen,9.29,46.78,0.4538,51.3,29.2
369,sunscreen,9.30,50.70,0.4606,54.7,29.2
370,sunscreen,9.30,46.05,0.4348,53.5,29.2
371,sunscreen,9.29,56.69,0.4622,53.5,29.2
372,sunscreen,9.29,61.14,0.4525,55.7,29.2
373,sunscreen,9.28,57.14,0.4326,52.8,29.2
374,sunscreen,9.28,52.10,0.4559,53.8,29.2
375,sunscreen,9.29,48.95,0.4453,50.7,29.2
376,sunscreen,9.29,53.27,0.4514,54.5,29.2
377,sunscreen,9.29,52.01,0.4441,53.2,29.2
378,sunscreen,9.29,54.03,0.4489,51.0,29.2
379,sunscreen,9.30,52.54,0.4571,53.3,29.2
380,sunscreen,9.30,54.24,0.4596,53.7,29.2
381,sunscreen,9.30,48.13,0.4602,51.6,29.2
382,sunscreen,9.29,48.69,0.4628,50.7,29.2
383,sunscreen,9.30,49.92,0.4536,53.2,29.2
384,sunscreen,9.30,47.87,0.4502,54.6,29.2
385,sunscreen,9.30,54.71,0.4520,54.5,29.2
386,sunscreen,9.31,49.87,0.4556,53.7,29.2
387,sunscreen,9.31,47.08,0.4513,54.2,29.2
388,sunscreen,9.32,50.99,0.4490,57.8,29.2
389,sunscreen,9.32,54.10,0.4553,54.3,29.2
390,sunscreen,9.33,50.17,0.4467,53.9,29.2
391,sunscreen,9.32,48.65,0.4449,54.9,29.2
392,sunscreen,9.32,51.98,0.4438,56.4,29.2
393,sunscreen,9.32,49.76,0.4550,54.5,29.2
394,sunscreen,9.32,56.12,0.4478,56.6,29.2
395,sunscreen,9.32,52.61,0.4555,54.0,29.2
396,sunscreen,9.32,55.04,0.4582,56.1,29.2
397,sunscreen,9.32,48.16,0.4457,50.3,29.2
398,sunscreen,9.32,46.82,0.4419,53.8,29.2
399,sunscreen,9.32,50.96,0.4562,51.9,29.2
400,sunscreen,9.32,45.45,0.4458,53.6,29.2
401,sunscreen,9.32,46.85,0.4507,55.9,29.2
402,sunscreen,9.32,53.26,0.4536,53.2,29.2
403,sunscreen,9.32,48.81,0.4500,52.3,29.2
404,sunscreen,9.32,58.71,0.4560,53.5,29.2
405,sunscreen,9.32,45.26,0.4402,52.1,29.2
406,sunscreen,9.33,49.07,0.4500,54.7,29.2
407,sunscreen,9.33,46.63,0.4503,54.4,29.2
408,sunscreen,9.33,56.82,0.4532,51.9,29.2
409,sunscreen,9.33,46.59,0.4510,56.4,29.2
410,sunscreen,9.33,58.99,0.4332,53.1,29.2
411,sunscreen,9.34,52.66,0.4344,58.6,29.2
