experiment_start,2025-05-27 02:20:23
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,envelope,7.52,73.81,0.0142,20.1,24.7
2,nematode,4.48,15.89,0.0089,32.6,25.1
3,nematode,6.17,16.64,0.0342,54.0,25.1
4,envelope,7.64,16.28,0.0194,58.1,25.4
5,envelope,8.75,12.99,0.0249,57.3,25.6
6,envelope,9.59,24.12,0.0621,50.6,25.6
7,envelope,10.34,23.58,0.1440,56.2,25.6
8,envelope,11.11,18.49,0.1862,52.9,25.5
9,envelope,11.84,14.27,0.1855,50.8,25.5
10,envelope,12.50,14.31,0.1326,51.6,25.6
11,envelope,12.97,18.00,0.1250,55.0,25.5
12,envelope,13.55,13.29,0.0943,54.0,25.6
13,envelope,14.05,14.06,0.1439,57.1,25.5
14,envelope,14.50,12.95,0.1285,52.4,25.5
15,envelope,14.93,11.82,0.1349,53.1,25.5
16,envelope,15.31,15.17,0.1171,51.5,25.5
17,envelope,15.67,14.28,0.1331,53.8,25.6
18,envelope,15.94,15.69,0.1312,51.4,25.6
19,envelope,16.22,16.11,0.1158,58.4,25.4
20,envelope,16.46,15.99,0.1294,48.5,25.6
21,envelope,16.73,12.43,0.1248,52.4,25.6
22,envelope,16.90,20.63,0.1485,55.6,25.4
23,envelope,17.12,17.26,0.1491,52.9,25.6
24,envelope,17.30,17.36,0.1363,50.7,25.6
25,envelope,17.47,17.44,0.1278,54.1,25.5
26,envelope,17.72,12.09,0.1461,48.1,25.5
27,envelope,17.88,18.32,0.1415,52.9,25.4
28,envelope,18.07,13.38,0.1214,52.5,25.5
29,envelope,18.25,11.01,0.1707,58.6,25.5
30,envelope,18.51,9.49,0.1535,61.9,25.5
31,envelope,18.74,9.48,0.1743,50.0,25.5
32,envelope,18.91,13.93,0.1519,51.7,25.5
33,envelope,19.11,11.10,0.1452,49.0,25.6
34,envelope,19.31,11.05,0.1499,55.2,25.6
35,envelope,19.49,13.78,0.1323,48.1,25.4
36,envelope,19.66,10.26,0.1531,56.7,25.5
37,envelope,19.83,10.27,0.1400,49.1,25.5
38,envelope,19.95,9.75,0.1338,56.7,25.5
39,envelope,20.10,9.76,0.1618,55.9,25.5
40,envelope,20.25,11.85,0.1207,47.1,25.5
41,envelope,20.39,12.34,0.1315,55.7,25.5
42,envelope,20.50,10.43,0.1380,48.1,25.5
43,envelope,20.63,12.49,0.1049,56.5,25.5
44,envelope,20.76,9.64,0.1200,48.1,25.6
45,envelope,20.84,16.58,0.1508,57.1,25.5
46,envelope,20.93,11.93,0.1328,58.8,25.6
47,envelope,21.02,11.97,0.1402,52.5,25.6
48,envelope,21.14,13.18,0.1331,55.0,25.5
49,envelope,21.23,14.22,0.1223,46.2,25.5
50,envelope,21.24,19.44,0.1381,54.8,25.4
51,envelope,21.28,14.99,0.1369,48.4,25.6
52,envelope,21.37,9.71,0.1328,60.6,25.6
53,envelope,21.44,10.77,0.1205,50.8,25.6
54,envelope,21.54,10.76,0.1043,49.0,25.6
55,envelope,21.62,14.43,0.1407,55.4,25.6
56,envelope,21.69,13.83,0.1391,52.5,25.6
57,envelope,21.79,10.55,0.1291,48.0,25.7
58,envelope,21.82,16.26,0.1619,50.0,25.5
59,envelope,21.88,13.98,0.1424,60.3,25.5
60,envelope,21.90,16.67,0.1515,61.4,25.6
61,envelope,21.96,13.55,0.1657,58.8,25.6
62,envelope,22.06,11.39,0.1607,50.0,25.7
63,envelope,22.13,11.01,0.1325,56.7,25.6
64,envelope,22.19,12.16,0.1459,57.1,25.6
65,envelope,22.25,11.74,0.1370,54.8,25.7
66,envelope,22.24,14.66,0.1439,52.0,25.5
67,envelope,22.29,12.17,0.1302,52.5,25.6
68,envelope,22.34,11.00,0.1203,57.4,25.7
69,envelope,22.42,11.77,0.1191,51.0,25.5
70,envelope,22.48,11.39,0.1250,56.7,25.7
71,envelope,21.72,14.05,0.1347,52.8,27.6
72,envelope,21.33,16.45,0.1262,56.7,28.8
73,envelope,21.12,10.16,0.1308,51.6,29.3
74,envelope,21.16,12.60,0.1488,52.4,29.5
75,envelope,21.01,15.03,0.1442,52.7,29.9
76,envelope,20.95,13.09,0.1519,54.3,25.9
77,envelope,20.98,19.14,0.1523,56.0,25.8
78,envelope,21.02,12.30,0.1215,54.7,25.9
79,envelope,21.06,16.54,0.1302,52.3,25.9
80,envelope,21.09,17.87,0.1347,50.8,25.7
81,envelope,21.16,11.48,0.1628,48.0,25.9
82,envelope,21.21,13.77,0.1554,61.3,25.8
83,envelope,21.25,14.23,0.1660,53.8,25.9
84,envelope,21.29,15.49,0.1853,54.8,25.9
85,envelope,21.35,11.76,0.1770,53.3,25.9
86,envelope,21.41,10.09,0.1610,50.0,25.9
87,envelope,21.43,17.97,0.1118,50.0,25.7
88,envelope,21.48,11.41,0.1319,58.2,25.9
89,envelope,21.52,11.62,0.1153,54.0,26.0
90,envelope,21.55,13.90,0.1117,50.0,25.8
91,envelope,21.59,12.38,0.1368,53.8,25.8
92,envelope,21.65,9.95,0.1430,52.8,25.9
93,envelope,21.67,14.65,0.1576,59.8,25.7
94,envelope,21.70,13.26,0.1277,52.4,25.9
