experiment_start,2025-05-27 02:30:06
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,binder,15.96,33.97,0.0295,20.8,28.0
2,binder,9.46,23.73,0.0558,52.5,28.6
3,nematode,11.87,13.97,0.1547,51.6,28.6
4,switch,13.63,13.31,0.0140,55.7,28.6
5,switch,15.30,10.88,0.0295,55.2,28.7
6,letter opener,16.55,13.47,0.0825,50.0,28.7
7,switch,17.53,13.19,0.0567,56.5,28.6
8,switch,18.14,16.68,0.0607,56.5,28.7
9,switch,18.86,13.52,0.0694,63.5,28.6
10,switch,19.30,14.22,0.0857,53.8,28.6
11,switch,19.51,10.32,0.0871,47.8,28.6
12,switch,18.17,12.89,0.0966,52.7,28.6
13,switch,18.10,11.63,0.0805,53.5,28.6
14,switch,17.40,12.04,0.0584,45.9,28.6
15,switch,16.97,11.10,0.0643,47.6,28.6
16,switch,16.10,10.52,0.0606,48.1,28.6
17,switch,15.31,8.64,0.0626,50.3,28.6
18,switch,15.40,12.29,0.0699,53.9,28.6
19,switch,15.57,11.48,0.0759,49.4,28.6
20,switch,15.42,11.59,0.0735,48.4,28.6
21,switch,15.25,10.04,0.0806,50.0,28.6
22,switch,15.38,12.30,0.0931,46.9,28.6
23,switch,15.45,9.29,0.0961,49.5,28.6
24,switch,15.57,11.30,0.0757,48.2,28.6
25,switch,15.68,9.96,0.0868,46.9,28.6
26,switch,15.64,10.00,0.0861,49.5,28.6
27,switch,15.70,11.55,0.0760,50.5,28.6
28,switch,15.94,11.33,0.0835,54.1,28.6
29,switch,15.98,12.33,0.1044,45.2,28.6
30,switch,15.95,12.66,0.0874,49.5,28.6
31,switch,15.83,9.00,0.0987,47.6,28.6
32,switch,15.91,13.90,0.1047,49.4,28.6
33,switch,16.00,10.34,0.0834,52.9,28.6
34,switch,16.05,12.43,0.0736,54.7,28.6
35,switch,16.13,12.48,0.0870,49.4,28.6
36,switch,15.98,12.08,0.0906,46.5,28.6
37,switch,16.16,10.28,0.0923,55.7,28.6
38,switch,16.20,11.85,0.0859,51.1,28.6
39,switch,16.35,14.21,0.0854,53.1,28.6
40,switch,16.34,14.45,0.0754,47.9,28.7
41,switch,16.32,15.56,0.0794,54.4,28.7
42,switch,16.42,13.69,0.0755,59.8,28.7
43,switch,16.42,15.95,0.0790,52.0,28.7
44,switch,16.34,13.93,0.0731,48.3,28.7
45,switch,16.34,11.87,0.0738,50.5,28.7
46,switch,16.16,11.52,0.0723,52.8,28.7
47,switch,16.26,12.47,0.0861,50.0,28.7
48,switch,16.26,10.19,0.0709,50.5,28.7
49,switch,16.35,12.46,0.0693,53.9,28.7
50,switch,16.33,14.30,0.0767,48.5,28.7
51,switch,16.43,13.46,0.0819,52.3,28.7
52,switch,16.45,13.19,0.0847,53.1,28.7
53,switch,16.44,13.80,0.0891,48.0,28.7
54,switch,16.50,13.32,0.0705,52.0,28.7
55,switch,16.60,12.38,0.0752,53.7,28.7
56,switch,16.70,12.77,0.0787,54.4,28.7
57,switch,16.81,10.07,0.0795,56.5,28.7
58,switch,16.93,12.62,0.0856,54.2,28.7
59,switch,17.06,11.05,0.0801,49.0,28.7
60,switch,17.16,9.50,0.0861,51.6,28.7
61,switch,17.27,12.74,0.0954,47.1,28.7
62,switch,17.32,13.33,0.0842,53.8,28.7
63,switch,17.36,15.18,0.0865,53.2,28.7
64,switch,17.41,13.26,0.0949,51.9,28.7
65,switch,17.48,11.34,0.0873,50.8,28.7
66,switch,17.53,11.58,0.0895,48.5,28.7
67,switch,17.63,10.04,0.0775,61.2,28.7
68,switch,17.72,11.29,0.0802,54.0,28.7
69,switch,17.78,11.31,0.0762,49.2,28.7
70,switch,17.85,11.90,0.0846,52.3,28.7
71,switch,17.94,10.51,0.0814,52.5,28.7
72,switch,17.96,13.23,0.0735,49.4,28.7
73,switch,18.04,13.61,0.0862,54.8,28.7
74,switch,18.13,11.02,0.0743,47.1,28.7
75,switch,18.14,9.37,0.0855,48.1,28.7
76,switch,18.21,11.76,0.0891,53.1,28.7
77,switch,18.28,12.74,0.0912,51.6,28.7
78,switch,18.34,13.22,0.0756,50.8,28.7
79,switch,18.31,11.98,0.0783,47.9,28.7
80,switch,18.40,9.68,0.0799,55.2,28.7
81,switch,18.41,10.69,0.0779,48.8,28.7
82,switch,18.46,12.90,0.0883,54.4,28.7
83,switch,18.53,12.65,0.0774,56.1,28.7
84,switch,18.60,10.07,0.0740,54.1,28.7
85,switch,18.65,11.02,0.0697,56.2,28.7
86,switch,18.65,12.66,0.0733,55.6,28.7
87,switch,18.72,10.63,0.0713,53.2,28.7
88,switch,18.67,9.54,0.0754,47.4,28.7
89,switch,18.73,12.84,0.0594,51.6,28.7
90,switch,18.78,11.61,0.0718,51.6,28.7
91,switch,18.84,11.85,0.0723,54.7,28.7
92,switch,18.79,10.66,0.0834,50.5,28.7
93,switch,18.87,10.78,0.0852,49.0,28.7
94,switch,18.92,13.31,0.0954,53.2,28.7
95,switch,19.00,10.28,0.0913,50.0,28.7
96,switch,19.05,10.27,0.0876,58.6,28.7
97,switch,19.10,10.07,0.0881,58.2,28.7
98,switch,19.15,12.86,0.0971,53.8,28.7
99,switch,19.20,11.90,0.0764,53.2,28.7
100,switch,19.25,11.66,0.0852,52.3,28.7
101,switch,19.28,15.30,0.0888,50.8,28.7
102,switch,19.34,13.13,0.0780,54.1,28.7
103,switch,19.39,12.49,0.0801,45.3,28.7
104,switch,19.44,11.86,0.0795,55.0,28.7
105,switch,19.50,12.51,0.0798,55.0,28.7
106,switch,19.56,12.67,0.0586,47.1,28.7
107,switch,19.57,16.63,0.0673,55.6,28.7
108,switch,19.61,13.14,0.0726,54.4,28.7
109,switch,19.67,11.74,0.0685,50.9,28.7
110,switch,19.70,13.46,0.0750,59.3,28.7
111,switch,19.75,11.55,0.0767,46.2,28.7
112,switch,19.80,11.97,0.0766,54.2,28.7
113,switch,19.84,11.14,0.0796,51.6,28.7
114,switch,19.86,10.69,0.0659,50.0,28.7
115,switch,19.90,14.40,0.0740,52.5,28.7
116,switch,19.96,9.50,0.0849,49.0,28.7
117,switch,20.00,9.82,0.0792,54.1,28.7
118,switch,20.05,10.64,0.0777,47.1,28.7
119,switch,20.10,11.10,0.0994,58.8,28.7
120,switch,20.15,13.86,0.0798,53.3,28.7
121,switch,20.20,12.84,0.0887,47.1,28.7
122,switch,20.25,10.70,0.0752,50.0,28.7
123,switch,20.28,12.70,0.0876,55.6,28.7
124,switch,20.32,11.76,0.0852,45.3,28.7
125,switch,20.36,13.17,0.0876,54.1,28.7
126,switch,20.40,12.73,0.0880,52.5,28.7
127,switch,20.43,11.51,0.0753,54.0,28.7
128,switch,20.46,13.11,0.0838,50.0,28.7
129,switch,20.50,11.94,0.0769,47.1,28.7
130,switch,20.54,12.98,0.0895,55.4,28.7
131,switch,20.59,9.16,0.0740,49.0,28.7
132,switch,20.62,12.38,0.0761,56.1,28.7
133,switch,20.65,10.13,0.0901,51.6,28.7
134,switch,20.67,12.70,0.0715,50.0,28.7
135,switch,20.67,18.09,0.0738,54.4,28.7
136,switch,20.68,17.61,0.0845,52.6,28.7
137,switch,20.36,67.05,0.0865,56.6,28.7
138,switch,20.37,14.40,0.0941,53.9,28.7
139,switch,20.38,17.71,0.0961,47.8,28.7
140,switch,20.36,17.15,0.0876,53.3,28.7
141,switch,20.37,14.43,0.0834,47.8,28.7
142,switch,20.37,14.48,0.0824,53.2,28.7
143,switch,20.37,14.48,0.0864,53.2,28.7
