experiment_start,2025-05-27 02:25:48
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,lighter,12.60,31.36,0.2230,13.4,27.2
2,lighter,9.08,17.17,0.2899,54.9,27.7
3,lighter,10.71,6.17,0.1027,53.1,27.7
4,slide rule,12.79,8.19,0.0299,47.9,27.8
5,slide rule,14.43,8.87,0.0363,60.3,27.9
6,fountain,15.85,7.14,0.1303,51.1,27.9
7,fountain,17.20,8.02,0.0799,53.2,27.9
8,toilet tissue,18.29,6.71,0.1077,51.1,28.0
9,toilet tissue,19.27,5.94,0.1027,52.2,27.7
10,toilet tissue,19.91,5.71,0.1150,48.0,27.8
11,toilet tissue,20.65,5.54,0.1049,53.2,27.8
12,toilet tissue,21.24,5.41,0.1096,50.0,27.8
13,toilet tissue,21.74,6.34,0.1092,62.5,27.8
14,toilet tissue,21.94,6.05,0.1164,50.0,27.8
15,toilet tissue,22.44,5.47,0.1137,53.2,27.8
16,toilet tissue,22.67,8.51,0.1228,57.6,27.8
17,toilet tissue,22.97,8.39,0.1205,48.0,27.8
18,toilet tissue,23.39,6.06,0.1081,53.2,27.8
19,toilet tissue,23.69,5.08,0.1070,50.0,27.9
20,toilet tissue,24.05,5.32,0.0883,53.2,27.9
21,toilet tissue,24.31,6.44,0.0928,51.0,27.9
22,toilet tissue,24.56,6.34,0.0879,60.3,27.9
23,toilet tissue,24.86,6.02,0.0900,41.0,27.9
24,bath towel,24.98,5.54,0.0886,55.0,27.7
25,bath towel,25.09,5.58,0.0827,54.2,27.8
26,bath towel,25.27,5.91,0.0921,49.0,27.8
27,toilet tissue,25.54,5.62,0.0912,53.3,27.8
28,toilet tissue,25.84,5.70,0.0956,45.7,27.8
29,toilet tissue,26.03,4.94,0.1043,51.1,27.8
30,toilet tissue,26.23,6.49,0.0987,51.1,27.8
31,toilet tissue,26.40,5.73,0.0887,51.1,27.9
32,toilet tissue,26.49,9.81,0.1072,59.4,27.7
33,toilet tissue,26.68,5.58,0.0995,52.2,27.9
34,toilet tissue,26.82,7.68,0.1041,52.2,27.9
35,toilet tissue,26.98,5.35,0.1065,52.2,27.9
36,toilet tissue,27.22,5.04,0.1140,47.1,27.9
37,toilet tissue,27.41,5.59,0.0996,53.3,27.8
38,toilet tissue,27.34,4.73,0.1027,50.0,27.9
39,toilet tissue,27.51,5.51,0.1035,59.6,27.8
40,toilet tissue,27.64,6.14,0.1062,54.2,27.8
41,bath towel,27.77,6.31,0.0908,53.2,27.8
42,toilet tissue,27.92,5.90,0.0876,42.1,27.8
43,toilet tissue,27.99,8.98,0.1060,62.9,27.8
44,toilet tissue,28.14,5.18,0.1097,43.2,27.9
45,toilet tissue,28.30,5.27,0.1091,55.6,27.7
46,toilet tissue,27.93,5.14,0.1031,55.3,27.9
47,toilet tissue,27.99,6.88,0.1028,52.0,27.9
48,toilet tissue,28.14,5.06,0.1077,55.8,27.7
49,toilet tissue,28.18,5.78,0.1040,52.1,27.9
50,toilet tissue,28.22,6.96,0.0914,50.0,27.9
51,toilet tissue,28.38,4.81,0.1021,61.4,27.9
52,toilet tissue,28.49,4.67,0.0944,46.2,27.9
53,toilet tissue,28.58,5.26,0.1025,56.2,27.9
54,toilet tissue,28.72,5.39,0.1001,67.3,27.9
55,bath towel,28.06,4.78,0.1060,46.0,27.9
56,toilet tissue,28.09,14.11,0.1033,48.0,27.9
