experiment_start,2025-05-28 09:12:14
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,nematode,4.26,131.36,0.0929,11.9,23.1
2,safety pin,2.31,113.66,0.0348,26.5,23.2
3,safety pin,2.98,109.87,0.2115,57.0,23.3
4,modem,3.04,218.88,0.1443,54.3,23.8
5,iPod,3.30,141.61,0.3664,55.0,23.9
6,iPod,3.48,175.68,0.3660,55.4,23.9
7,iPod,3.65,144.12,0.3885,52.1,23.9
8,iPod,3.77,160.86,0.3594,52.6,23.8
9,iPod,3.98,96.15,0.4117,53.3,24.3
10,iPod,4.16,102.54,0.1461,55.6,24.1
11,iPod,4.32,105.58,0.2517,52.3,24.1
12,iPod,4.49,92.83,0.2034,53.7,24.1
13,iPod,4.62,101.31,0.1826,51.8,23.7
14,iPod,4.76,88.24,0.1931,54.1,24.4
15,iPod,4.86,103.54,0.2632,54.0,24.4
16,safety pin,4.99,81.64,0.1387,52.7,24.4
17,ladle,5.09,92.38,0.1559,55.7,24.3
18,ladle,5.19,83.97,0.0910,56.6,24.4
19,vacuum,5.27,93.97,0.0999,55.6,24.3
20,hook,5.36,86.79,0.0812,58.4,24.3
21,hook,5.45,92.02,0.0867,52.8,24.3
22,hook,5.51,101.57,0.0518,55.6,24.3
23,toilet tissue,5.58,92.07,0.0355,54.1,24.3
24,nematode,5.66,83.48,0.0570,53.6,24.3
25,car mirror,5.73,78.56,0.0571,53.8,24.3
26,radiator,5.82,74.53,0.0486,53.6,24.3
27,radiator,5.92,64.12,0.0627,55.9,24.1
28,iPod,6.01,65.84,0.0203,51.4,24.0
29,toaster,6.12,59.72,0.0796,55.1,24.2
30,paper towel,6.20,66.43,0.0733,56.6,24.3
31,sunglass,6.28,68.82,0.0162,51.4,24.3
32,hourglass,6.33,82.08,0.0207,54.9,24.2
33,mortar,6.40,74.36,0.0451,56.5,24.3
34,dam,6.45,75.69,0.0172,54.0,24.3
35,bathtub,6.44,123.32,0.0415,52.5,24.4
36,cleaver,6.47,98.92,0.0202,54.5,24.4
37,rubber eraser,6.50,90.66,0.1488,56.3,24.4
38,rubber eraser,6.53,93.45,0.3052,57.1,24.2
39,rubber eraser,6.55,92.15,0.2026,54.0,24.2
40,rubber eraser,6.56,96.65,0.0881,56.6,24.3
41,rubber eraser,6.58,96.16,0.0806,53.9,24.3
42,rubber eraser,6.61,84.62,0.4813,54.8,24.3
43,rubber eraser,6.63,91.02,0.2225,56.2,24.3
44,rubber eraser,6.65,92.37,0.1658,52.0,24.1
45,cleaver,6.68,88.05,0.0861,54.7,24.2
46,refrigerator,6.71,77.52,0.0234,53.6,23.8
47,rubber eraser,6.72,94.97,0.0620,53.1,24.3
48,radiator,7.30,85.26,0.0358,55.1,23.9
49,piggy bank,7.31,79.93,0.1127,53.4,24.2
50,piggy bank,7.32,92.03,0.1104,55.0,24.3
51,Band Aid,7.34,82.07,0.1687,55.4,24.4
52,Band Aid,7.35,87.23,0.2038,55.2,24.3
53,Band Aid,7.36,82.23,0.2577,54.2,24.2
54,Band Aid,7.35,113.02,0.4199,59.4,24.4
55,wine bottle,7.34,98.74,0.0987,53.6,24.2
56,wine bottle,7.32,119.62,0.0471,54.3,24.3
57,Band Aid,7.30,113.94,0.1761,53.9,24.3
58,Band Aid,7.30,101.45,0.5729,55.2,24.2
59,Band Aid,7.30,96.21,0.4662,54.9,24.4
60,Band Aid,7.33,67.81,0.4702,54.0,24.4
61,Band Aid,7.36,72.16,0.4084,54.1,24.4
62,Band Aid,7.40,65.21,0.4749,52.8,24.3
63,Band Aid,7.43,67.54,0.1032,54.5,24.3
64,Band Aid,7.45,77.55,0.1819,51.5,24.3
65,Band Aid,7.47,76.94,0.3442,55.4,24.2
66,Band Aid,7.46,108.83,0.1795,51.3,24.3
67,projectile,7.41,155.55,0.2480,52.4,24.3
68,Band Aid,7.40,103.55,0.0846,54.0,24.3
69,Band Aid,7.38,127.90,0.2434,56.9,24.4
70,Band Aid,7.37,104.82,0.1947,54.6,24.3
71,lipstick,7.35,102.60,0.0565,53.7,24.4
72,drumstick,7.34,96.67,0.1002,54.6,24.3
73,Band Aid,7.34,90.00,0.0301,52.2,23.9
74,Band Aid,7.34,94.53,0.0576,54.3,24.4
75,Band Aid,7.36,76.47,0.0456,55.7,24.4
76,Band Aid,7.36,94.16,0.1138,52.2,24.5
77,Band Aid,7.36,82.01,0.0942,52.3,23.9
78,Band Aid,7.37,82.10,0.2309,54.0,24.4
79,Band Aid,7.38,90.84,0.1302,55.0,24.4
80,candle,7.38,94.41,0.2086,53.1,24.4
81,candle,7.38,93.82,0.4901,52.9,24.0
82,cleaver,7.38,102.98,0.0148,54.8,24.5
83,saltshaker,7.38,95.85,0.0318,55.5,24.4
84,saltshaker,7.38,94.82,0.0174,55.1,24.5
85,tennis ball,7.38,84.40,0.0204,59.9,23.9
86,tennis ball,7.39,81.32,0.0150,53.8,24.5
87,envelope,7.38,120.76,0.0230,56.9,24.6
88,envelope,7.38,87.49,0.0340,52.8,24.6
89,ladle,7.40,66.60,0.0924,55.1,24.4
90,ladle,7.40,95.71,0.0765,52.2,24.5
91,ladle,7.42,71.80,0.0801,55.4,24.5
92,ladle,7.43,65.13,0.1128,54.5,24.5
93,ladle,7.44,72.48,0.0615,54.5,24.3
94,ladle,7.46,62.42,0.0773,53.7,24.5
95,ladle,7.47,75.84,0.0988,53.6,24.5
96,ladle,7.46,96.14,0.0833,53.6,24.5
97,ladle,7.46,101.88,0.0792,53.7,24.5
98,ladle,7.43,119.82,0.0828,53.4,24.5
99,ladle,7.44,87.07,0.0730,51.8,24.4
100,ladle,7.44,84.17,0.0825,56.6,24.5
101,ladle,7.43,89.76,0.0869,56.8,24.5
102,ladle,7.43,82.93,0.0854,53.7,24.5
103,ladle,7.42,104.65,0.0786,53.8,24.3
104,ladle,7.42,87.86,0.0941,54.2,24.3
105,ladle,7.41,101.55,0.0717,56.2,24.4
106,ladle,7.40,96.19,0.0894,54.2,24.4
107,ladle,7.40,93.54,0.0800,52.9,24.5
108,ladle,7.40,87.18,0.0595,55.0,24.4
109,ladle,7.38,101.12,0.0846,52.0,24.1
110,ladle,7.35,103.80,0.0741,52.8,24.5
111,ladle,7.36,68.08,0.0852,52.7,24.5
112,ladle,7.36,68.43,0.1011,51.6,24.0
113,ladle,7.35,63.52,0.1012,54.2,24.4
114,ladle,7.35,68.95,0.0662,51.0,24.4
115,ladle,7.35,78.20,0.0956,54.9,23.9
116,ladle,7.33,93.66,0.0960,52.9,24.5
117,ladle,7.29,115.29,0.0737,52.9,24.4
118,ladle,6.91,150.42,0.0730,22.0,24.0
119,ladle,6.88,112.54,0.0914,50.4,24.0
120,ladle,6.84,126.98,0.0771,52.3,24.4
121,ladle,6.82,116.44,0.0765,55.4,24.1
122,ladle,6.80,91.61,0.0720,53.3,24.5
123,ladle,6.78,81.31,0.0724,51.9,24.4
124,ladle,6.76,102.02,0.0940,51.1,24.0
125,ladle,6.75,77.88,0.0835,52.5,24.5
126,ladle,6.74,76.95,0.0742,51.9,24.0
127,ladle,6.71,77.77,0.0724,52.4,23.9
128,ladle,6.68,92.52,0.0878,52.6,23.9
129,ladle,6.67,76.66,0.0660,53.5,24.0
130,ladle,6.66,60.69,0.0791,51.3,23.9
131,ladle,6.66,87.33,0.0841,54.3,24.3
132,ladle,6.64,68.44,0.0829,51.6,24.2
133,ladle,6.62,73.44,0.0631,51.7,23.9
134,ladle,6.62,74.54,0.0889,52.4,24.5
135,ladle,6.62,83.59,0.0642,52.1,24.0
136,ladle,6.63,71.03,0.0874,54.1,23.9
137,ladle,6.62,86.87,0.0580,53.0,24.4
138,ladle,6.61,73.55,0.0666,51.0,23.9
139,ladle,6.60,104.83,0.0609,50.3,24.0
140,ladle,6.59,89.30,0.0678,50.7,23.9
141,ladle,6.59,96.18,0.0433,54.9,23.9
142,cleaver,6.59,86.09,0.0420,53.4,23.9
143,rubber eraser,6.59,84.17,0.1129,51.7,23.9
144,lipstick,6.57,104.06,0.0614,55.1,24.1
145,lotion,6.57,89.86,0.3248,51.8,24.1
146,lotion,6.57,87.52,0.3196,53.3,23.9
147,lotion,6.57,86.58,0.2940,53.5,23.9
148,lotion,6.56,79.04,0.4512,50.7,23.9
149,lotion,6.56,90.87,0.3899,51.4,24.0
150,lotion,6.54,86.91,0.4237,50.9,23.9
151,lotion,6.53,57.57,0.3799,49.6,24.0
152,lotion,6.51,79.85,0.3445,50.9,24.0
153,lotion,6.50,80.04,0.3184,51.8,24.0
154,lotion,6.48,72.93,0.3016,49.9,24.0
155,lotion,6.46,132.92,0.3351,55.7,24.0
156,lotion,6.46,69.51,0.3531,51.0,23.9
157,lotion,6.46,67.65,0.2569,50.0,24.0
158,lotion,6.46,76.06,0.2852,52.0,24.0
159,lotion,6.46,76.96,0.2785,52.9,24.0
160,lotion,6.47,69.95,0.3048,54.0,24.5
161,lotion,6.46,77.10,0.3143,52.2,24.0
162,lotion,6.45,73.07,0.3015,50.4,23.8
163,lotion,6.45,73.62,0.3272,52.4,23.9
164,lotion,6.45,54.86,0.3314,50.4,23.9
165,lotion,6.45,78.25,0.3381,54.2,23.9
166,lotion,6.45,78.31,0.3346,50.9,23.9
167,lotion,6.45,94.15,0.3165,55.9,23.9
168,lotion,6.45,87.54,0.3141,55.4,23.8
169,lotion,6.44,63.43,0.3328,50.6,24.0
170,lotion,6.45,86.49,0.3344,56.1,23.9
171,lotion,6.45,88.91,0.3145,51.1,23.9
172,lotion,6.45,94.72,0.3213,55.0,24.0
173,lotion,6.45,82.26,0.3183,52.2,24.0
174,lotion,6.44,95.37,0.3202,51.6,23.9
175,lotion,6.44,89.35,0.3253,52.0,23.9
176,lotion,6.43,103.26,0.3254,53.1,23.9
177,lotion,6.43,94.86,0.3220,53.3,24.0
178,lotion,6.43,105.94,0.3339,51.8,23.8
179,lotion,6.38,166.43,0.3147,54.7,24.0
180,lotion,6.38,93.88,0.3044,53.7,24.4
181,lotion,6.38,100.39,0.3296,51.8,23.9
182,lotion,6.36,91.49,0.3257,51.5,23.9
183,lotion,6.36,86.08,0.3180,53.6,24.4
184,lotion,6.35,103.73,0.2966,51.9,23.9
185,lotion,6.35,124.24,0.3088,52.7,23.9
186,lotion,6.36,67.68,0.2848,52.6,24.4
187,lotion,6.34,74.81,0.3111,51.0,23.9
188,lotion,6.34,101.94,0.3027,53.6,23.9
189,lotion,6.34,85.15,0.2990,54.4,24.4
190,lotion,6.34,91.19,0.3424,53.8,24.0
191,lotion,6.33,102.50,0.2972,56.6,23.9
192,lotion,6.33,93.93,0.3062,53.0,24.3
193,lotion,6.33,89.28,0.2811,49.8,23.9
194,lotion,6.32,123.29,0.3227,52.8,23.9
195,lotion,6.32,89.14,0.3284,53.2,24.0
196,lotion,6.32,83.33,0.3057,51.3,24.0
197,lotion,6.32,86.94,0.3328,51.3,23.9
198,lotion,6.32,93.31,0.2865,51.8,23.9
199,lotion,6.32,84.62,0.3030,50.6,23.9
200,lotion,6.32,87.71,0.2896,51.9,23.9
201,lotion,6.32,89.96,0.3269,52.5,23.9
202,lotion,6.32,79.11,0.3354,52.7,24.4
203,lotion,6.33,85.02,0.1005,55.3,24.4
204,lotion,6.33,104.89,0.1408,59.7,24.3
205,sunscreen,6.33,92.68,0.0438,53.5,24.4
206,sock,6.34,79.62,0.1998,52.7,24.4
207,lotion,6.34,94.17,0.2845,53.8,24.4
208,lotion,6.34,115.54,0.2400,53.6,24.0
209,lotion,6.35,87.18,0.2442,53.4,24.6
210,lotion,6.35,89.24,0.2561,54.4,24.5
211,lotion,6.35,112.01,0.2298,55.9,24.5
212,lotion,6.36,81.92,0.2509,52.9,24.5
213,lotion,6.37,77.06,0.2491,52.9,24.4
214,lotion,6.38,63.07,0.2239,54.8,24.5
215,lotion,6.39,74.49,0.2166,51.2,24.4
216,lotion,6.40,61.57,0.2381,54.8,24.1
217,lotion,6.41,77.82,0.2388,53.0,23.9
218,lotion,6.41,84.78,0.2329,55.2,24.5
219,lotion,6.42,74.93,0.2277,54.3,24.5
220,lotion,6.43,96.08,0.2103,54.8,24.5
221,lotion,6.43,80.94,0.1866,58.2,24.3
222,lotion,6.44,83.43,0.1812,55.4,24.4
223,lotion,6.44,97.71,0.1824,53.5,24.4
224,lotion,6.45,95.81,0.1614,57.2,24.4
225,lotion,6.45,79.69,0.1756,53.7,24.5
226,lotion,6.46,73.53,0.1894,52.8,24.0
227,lotion,6.46,96.45,0.1742,55.9,24.0
228,lotion,6.47,87.91,0.1591,53.4,24.4
229,lotion,6.47,85.15,0.1569,52.8,24.4
230,lotion,6.48,92.97,0.1622,58.1,24.5
231,lotion,6.48,98.82,0.1809,53.5,24.6
232,lotion,6.48,104.07,0.1900,54.6,24.5
233,lotion,6.48,107.85,0.1960,54.8,24.5
234,lotion,6.48,99.68,0.2259,54.7,24.5
235,lotion,6.49,100.02,0.0942,54.1,24.6
236,ladle,6.49,106.19,0.0988,60.4,24.5
237,ladle,6.49,85.36,0.1863,55.3,24.3
238,toilet tissue,6.50,85.79,0.0373,52.7,24.0
239,ladle,6.50,95.57,0.0797,54.8,24.1
240,ladle,6.50,102.13,0.0611,54.7,24.6
241,ladle,6.50,105.70,0.0680,54.1,24.5
242,ladle,6.50,96.57,0.0858,53.6,24.5
243,ladle,6.50,90.18,0.0885,52.5,24.4
244,ladle,6.48,96.06,0.0727,49.0,24.0
245,ladle,6.47,100.39,0.0710,50.2,24.1
246,ladle,6.46,105.60,0.0636,51.9,23.9
247,ladle,6.46,91.76,0.0819,51.7,24.0
248,ladle,6.46,86.16,0.0808,52.8,24.5
249,ladle,6.45,93.34,0.0607,54.2,24.1
250,cleaver,6.44,100.38,0.0417,50.8,24.1
251,toilet tissue,6.44,98.99,0.0580,54.5,24.5
252,lighter,6.54,84.31,0.0873,54.3,24.4
253,sunscreen,6.53,108.56,0.0555,51.5,24.4
254,lipstick,6.54,95.44,0.0852,54.2,24.4
255,vacuum,6.54,104.43,0.0910,51.6,24.4
256,pill bottle,6.53,137.77,0.2060,53.4,24.5
257,pencil sharpener,6.54,79.85,0.0938,53.7,24.5
258,pencil sharpener,6.54,76.32,0.0961,52.0,24.4
259,pencil sharpener,6.55,68.75,0.0603,53.8,24.4
260,pencil sharpener,6.56,66.26,0.0907,52.0,24.4
261,pencil sharpener,6.55,68.56,0.1079,51.2,23.9
262,vacuum,6.56,73.37,0.0943,55.9,24.4
263,pencil sharpener,6.56,76.03,0.1384,54.8,23.9
264,pencil sharpener,6.57,65.17,0.0636,55.9,24.6
265,pencil sharpener,6.58,75.41,0.1258,55.4,24.4
266,pencil sharpener,6.58,77.86,0.1415,50.3,24.2
267,sunscreen,6.59,82.96,0.0985,55.0,24.7
268,sunscreen,6.60,64.48,0.1031,53.1,24.6
269,sunscreen,6.60,68.70,0.1189,53.8,24.7
270,sunscreen,6.61,66.56,0.1381,53.5,24.7
271,sunscreen,6.62,57.01,0.1159,53.7,24.0
272,sunscreen,6.63,66.29,0.1101,53.3,24.1
273,sunscreen,6.63,72.66,0.0986,52.1,24.6
274,sunscreen,6.63,72.77,0.1429,55.2,24.6
275,sunscreen,6.62,111.67,0.1311,50.4,24.1
276,sunscreen,6.62,92.20,0.1469,51.1,24.1
277,sunscreen,6.62,79.25,0.1518,53.4,24.4
278,sunscreen,6.63,86.80,0.1286,57.6,24.5
279,sunscreen,6.63,85.45,0.1676,56.4,24.6
280,lotion,6.63,81.48,0.1272,54.0,24.6
281,sunscreen,6.63,84.82,0.1054,53.1,24.6
282,sunscreen,6.63,89.67,0.1272,52.2,24.0
283,sunscreen,6.62,87.21,0.1213,51.0,23.8
284,sunscreen,6.63,80.46,0.1790,52.0,24.4
285,sunscreen,6.63,74.19,0.1937,54.0,24.4
286,sunscreen,6.63,90.32,0.1810,51.9,23.9
287,sunscreen,6.62,90.70,0.1661,51.9,24.1
288,sunscreen,6.62,86.46,0.1685,50.6,24.1
289,sunscreen,6.61,116.88,0.1620,50.9,24.0
290,sunscreen,6.61,92.46,0.1775,55.0,24.0
291,sunscreen,6.61,91.37,0.1861,52.4,24.0
292,sunscreen,6.62,81.92,0.1685,54.8,24.4
293,sunscreen,6.62,96.84,0.1650,57.6,24.5
294,sunscreen,6.62,81.79,0.1799,55.8,24.5
295,sunscreen,6.62,90.47,0.1565,52.8,24.6
296,sunscreen,6.62,95.63,0.1738,53.4,24.3
297,sunscreen,6.62,87.31,0.1702,51.7,24.4
298,sunscreen,6.62,110.06,0.1715,53.1,24.4
299,sunscreen,6.62,89.05,0.1678,52.7,24.4
300,sunscreen,6.62,129.80,0.1577,55.4,24.5
301,sunscreen,6.62,104.95,0.1566,53.8,24.0
302,sunscreen,6.62,85.10,0.1695,52.9,24.4
303,sunscreen,6.62,78.73,0.1759,53.8,24.4
304,sunscreen,6.63,77.56,0.1838,53.7,24.4
305,sunscreen,6.63,86.83,0.1519,54.1,24.6
306,sunscreen,6.63,86.03,0.1812,52.3,24.3
307,sunscreen,6.64,92.18,0.1572,56.5,24.4
308,sunscreen,6.63,97.75,0.1731,58.5,24.4
309,sunscreen,6.64,93.04,0.1664,53.4,24.4
310,sunscreen,6.64,108.77,0.1820,53.6,24.5
311,sunscreen,6.64,83.32,0.1635,53.5,24.5
312,sunscreen,6.64,98.66,0.1591,52.7,24.4
313,sunscreen,6.64,85.20,0.1531,53.9,24.3
314,sunscreen,6.65,85.08,0.1742,54.6,23.9
315,sunscreen,6.65,90.01,0.1785,53.1,24.0
316,sunscreen,6.66,70.40,0.1691,56.6,24.4
317,sunscreen,6.66,85.09,0.1620,53.2,24.4
318,sunscreen,6.66,92.56,0.1661,53.8,23.9
319,sunscreen,6.66,105.13,0.1558,52.5,24.2
320,sunscreen,6.66,96.77,0.1703,53.9,24.1
321,sunscreen,6.63,93.39,0.1580,45.7,24.0
322,sunscreen,6.61,82.31,0.1717,48.4,24.0
323,sunscreen,6.62,91.11,0.1508,54.1,24.0
324,sunscreen,6.61,79.38,0.1579,50.0,24.0
325,sunscreen,6.60,80.09,0.1697,51.5,24.0
326,sunscreen,6.61,76.71,0.1469,52.7,24.4
327,sunscreen,6.60,63.03,0.1630,48.0,24.1
328,sunscreen,6.60,100.15,0.1652,52.7,24.1
329,sunscreen,6.59,86.32,0.1683,52.3,24.1
330,sunscreen,6.58,80.59,0.1587,49.3,23.9
331,sunscreen,6.58,93.20,0.1605,52.9,23.9
332,sunscreen,6.58,112.36,0.1823,52.3,24.0
333,sunscreen,6.58,103.62,0.1352,55.1,24.1
334,sunscreen,6.58,69.82,0.1788,54.7,24.5
335,pill bottle,6.58,72.86,0.0910,50.2,23.9
336,Band Aid,6.59,61.94,0.0477,51.5,24.1
337,ladle,6.58,74.49,0.1034,50.0,24.1
338,ladle,6.58,52.99,0.1004,49.6,24.1
339,ladle,6.58,82.45,0.0911,50.0,24.1
340,ladle,6.57,101.39,0.0943,51.2,24.1
341,ladle,6.57,110.41,0.0861,52.1,24.0
342,ladle,6.57,91.06,0.0797,50.8,24.1
343,ladle,6.57,89.29,0.0907,55.3,24.1
344,ladle,6.57,89.17,0.0689,51.6,24.0
