experiment_start,2025-05-28 11:23:26
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,cup,15.05,35.82,0.0594,16.9,28.6
2,cup,9.22,29.69,0.0600,52.8,29.2
3,whiskey jug,11.43,21.66,0.0529,56.6,29.2
4,cup,12.86,23.45,0.0865,57.1,29.2
5,cup,13.62,27.33,0.1240,51.8,29.2
6,cup,14.33,25.39,0.1824,52.4,29.2
7,cup,14.99,19.36,0.2263,56.4,29.2
8,coffee mug,15.42,25.42,0.2271,56.1,29.2
9,cup,15.89,20.84,0.2363,61.3,29.2
10,cup,16.27,20.98,0.2248,55.1,29.2
11,cup,16.61,21.33,0.1859,60.0,29.2
12,cup,16.88,21.47,0.2276,54.4,29.2
13,cup,17.00,25.54,0.2316,53.0,29.2
14,cup,16.98,28.75,0.2214,55.6,29.2
15,cup,17.17,22.55,0.2339,54.4,29.2
16,cup,17.40,19.67,0.2482,59.8,29.2
17,cup,17.50,21.83,0.2324,53.8,29.2
18,cup,17.76,18.54,0.2479,54.4,29.2
19,coffee mug,17.85,22.79,0.2604,55.4,29.2
20,coffee mug,18.03,21.29,0.2666,59.3,29.2
21,cup,18.00,19.03,0.2547,49.4,29.2
22,cup,17.37,17.62,0.2531,49.7,29.2
23,cup,17.39,16.12,0.2512,53.8,29.2
24,cup,17.48,17.94,0.2479,50.6,29.2
25,cup,17.32,18.81,0.2349,52.2,29.2
26,cup,17.43,16.66,0.2501,53.8,29.2
27,cup,17.41,18.34,0.2633,53.6,29.2
28,cup,17.18,18.66,0.2596,51.6,29.2
29,cup,17.18,18.62,0.2672,50.0,29.2
30,cup,17.12,16.73,0.2650,55.4,29.2
31,coffee mug,16.82,15.30,0.2717,48.6,29.2
32,coffee mug,16.79,17.64,0.2635,51.5,29.2
33,coffee mug,16.86,19.25,0.2199,51.9,29.2
34,coffee mug,16.88,15.62,0.2733,55.6,29.2
35,coffee mug,16.86,21.23,0.2459,51.6,29.2
36,cup,16.82,18.64,0.2447,55.4,29.2
37,cup,16.85,17.32,0.2563,48.8,29.2
38,cup,16.82,22.07,0.2629,54.2,29.2
39,coffee mug,16.87,16.34,0.2710,50.0,29.2
40,coffee mug,16.89,15.53,0.2684,48.2,29.2
41,coffee mug,16.79,14.98,0.2778,52.5,29.2
42,cup,16.87,21.30,0.2655,55.8,29.2
43,cup,16.68,32.34,0.2675,49.2,29.2
44,coffee mug,16.75,20.98,0.2590,58.2,29.2
45,cup,16.71,22.43,0.2686,54.1,29.2
46,coffee mug,16.65,23.91,0.2774,53.6,29.2
47,cup,16.62,31.49,0.2449,54.4,29.2
48,cup,16.44,52.85,0.2673,56.1,29.2
49,coffee mug,16.52,16.26,0.2625,50.8,29.2
50,coffee mug,16.59,24.55,0.2656,54.5,29.2
51,coffee mug,16.52,23.30,0.2682,48.7,29.2
52,cup,16.58,18.56,0.2686,56.1,29.2
53,cup,16.62,19.83,0.2819,55.6,29.2
54,cup,16.66,20.48,0.2532,50.0,29.2
55,cup,16.40,18.84,0.2659,48.3,29.2
56,cup,16.37,20.35,0.2720,51.9,29.2
57,cup,16.32,21.22,0.2461,50.9,29.2
58,coffee mug,16.28,21.36,0.2568,52.2,29.2
59,coffee mug,15.85,18.09,0.2478,50.0,29.2
60,coffee mug,15.80,18.71,0.2701,48.7,29.2
61,coffee mug,15.66,20.28,0.2703,50.0,29.2
62,cup,15.63,21.22,0.2474,50.9,29.2
63,cup,15.56,20.78,0.2498,53.8,29.2
64,cup,15.54,21.73,0.2529,52.6,29.2
65,cup,15.50,18.83,0.2625,54.3,29.2
66,cup,15.41,19.82,0.2548,53.7,29.2
67,cup,15.37,25.22,0.2774,49.1,29.2
68,cup,15.37,19.44,0.2717,52.7,29.2
69,cup,15.31,21.19,0.2374,50.4,29.2
70,cup,15.19,19.72,0.2576,49.7,29.2
71,coffee mug,15.13,18.12,0.2447,56.0,29.2
72,coffee mug,15.13,19.37,0.2342,51.0,29.2
73,cup,14.98,22.06,0.2312,52.5,29.2
74,cup,14.95,18.27,0.2333,52.8,29.2
75,coffee mug,14.93,19.78,0.2176,49.1,29.2
76,cup,14.94,19.53,0.2028,50.5,29.2
77,cup,14.95,19.13,0.2375,54.1,29.2
78,cup,14.90,21.03,0.2143,50.8,29.2
79,cup,14.88,18.67,0.2134,53.2,29.2
80,cup,14.92,19.10,0.2186,50.0,29.2
81,cup,14.84,16.39,0.2248,47.9,29.2
82,cup,14.87,17.42,0.2371,55.3,29.2
83,cup,14.88,22.69,0.2110,50.0,29.2
84,cup,14.90,19.34,0.1912,52.0,29.2
85,cup,14.92,18.04,0.2136,58.9,29.2
86,cup,14.90,24.25,0.2042,51.3,29.2
87,cup,14.94,22.98,0.2078,51.2,29.2
88,cup,14.99,25.19,0.2093,55.0,29.2
89,cup,15.03,20.25,0.2008,55.0,29.2
90,cup,15.05,21.40,0.1942,54.2,29.2
91,cup,15.05,18.31,0.1917,51.4,29.2
92,cup,14.98,21.14,0.2049,51.9,29.2
93,cup,14.98,19.43,0.1909,50.5,29.2
94,coffee mug,14.98,22.23,0.2013,55.7,29.2
95,cup,14.94,19.18,0.1941,49.2,29.2
96,cup,14.94,23.64,0.2043,54.4,29.2
97,cup,14.94,24.76,0.2133,54.6,29.2
98,cup,14.95,20.79,0.2118,49.0,29.2
99,cup,14.98,20.67,0.2140,52.5,29.2
100,cup,15.03,18.43,0.2013,59.5,29.2
101,cup,15.01,19.93,0.2089,59.7,29.2
102,cup,14.98,22.56,0.2053,50.8,29.2
103,cup,14.97,21.79,0.2334,52.6,29.2
104,cup,14.96,25.29,0.2143,53.2,29.2
105,cup,14.96,28.75,0.2047,52.1,29.2
106,cup,14.97,24.63,0.2171,58.9,29.2
107,cup,14.95,23.95,0.2136,49.6,29.2
108,cup,14.95,28.45,0.2230,57.1,29.2
109,coffee mug,14.96,25.15,0.2254,52.6,29.2
110,cup,14.96,23.60,0.2263,57.4,29.2
111,cup,14.96,26.89,0.2587,51.5,29.2
112,cup,14.97,24.92,0.2728,58.3,29.2
113,cup,14.97,32.55,0.2520,55.4,29.2
114,cup,14.97,27.61,0.2362,51.0,29.2
115,cup,14.99,25.39,0.2287,55.4,29.2
116,cup,15.00,26.13,0.2333,53.0,29.2
117,cup,14.99,33.24,0.2172,55.4,29.2
118,cup,14.99,30.28,0.1978,55.0,29.2
119,cup,15.00,25.68,0.1997,56.3,29.2
120,cup,15.02,23.37,0.2665,54.3,29.2
121,cup,15.03,24.43,0.2402,55.2,29.2
122,cup,15.03,25.22,0.1821,51.5,29.2
123,coffee mug,15.01,29.29,0.1424,54.9,29.2
124,coffee mug,15.00,33.07,0.1452,52.3,29.2
125,coffee mug,14.95,40.85,0.1906,55.3,29.2
126,cup,14.95,24.92,0.1775,50.5,29.2
127,cup,14.94,25.27,0.1517,58.2,29.2
128,cup,14.95,25.17,0.1553,56.2,29.2
129,cup,14.96,30.48,0.1765,51.0,29.2
130,cup,14.97,21.57,0.1869,54.9,29.2
131,cup,14.98,27.00,0.1968,60.6,29.2
132,cup,14.99,24.19,0.2071,59.4,29.2
133,cup,14.99,25.96,0.2226,58.6,29.3
134,cup,15.00,26.23,0.1892,54.3,29.2
135,cup,15.00,30.18,0.2029,53.0,29.2
136,cup,15.00,32.46,0.1762,56.0,29.2
137,cup,15.00,30.17,0.2109,52.3,29.2
138,cup,15.02,20.26,0.2195,53.0,29.2
139,cup,15.03,27.19,0.2239,57.0,29.2
140,cup,15.05,20.37,0.2088,50.0,29.2
141,cup,15.06,22.16,0.1885,54.3,29.2
142,cup,15.08,21.05,0.2041,51.2,29.2
143,cup,15.10,21.99,0.1899,56.0,29.2
144,cup,15.11,24.40,0.1951,49.4,29.2
145,cup,15.13,22.97,0.1917,60.2,29.2
146,cup,15.15,22.74,0.1946,48.7,29.2
147,cup,15.16,22.50,0.1888,53.1,29.2
148,cup,15.17,25.97,0.1652,56.3,29.2
149,cup,15.18,22.60,0.1731,54.8,29.2
150,cup,15.19,27.83,0.1232,56.7,29.2
151,cup,15.20,26.63,0.1171,56.3,29.2
152,cup,15.21,21.13,0.1486,55.8,29.2
153,cup,15.22,26.22,0.1578,55.3,29.2
154,cup,15.23,24.59,0.1336,53.3,29.2
155,cup,15.24,25.36,0.0972,54.5,29.2
156,cup,15.26,23.31,0.1087,59.2,29.2
157,cup,15.27,24.88,0.1022,56.4,29.2
158,cup,15.25,23.10,0.1224,50.9,29.2
159,cup,15.14,30.86,0.1357,53.9,29.2
160,coffee mug,15.13,23.61,0.1162,53.0,29.2
161,cup,15.14,22.25,0.1078,53.7,29.2
162,coffee mug,15.12,25.63,0.1070,50.8,29.2
163,coffee mug,15.07,26.83,0.0949,57.2,29.2
164,coffee mug,15.04,21.89,0.0857,55.5,29.2
165,cup,15.01,21.53,0.1024,52.7,29.2
166,cup,14.96,20.93,0.0933,53.5,29.2
167,cup,14.98,18.98,0.1471,53.8,29.2
168,cup,14.97,18.04,0.1998,53.7,29.2
169,cup,14.98,23.62,0.2302,52.0,29.2
170,cup,14.90,21.35,0.2495,49.2,29.2
171,cup,14.90,20.69,0.2732,55.0,29.2
172,cup,14.88,24.18,0.2665,52.1,29.2
173,cup,14.89,25.84,0.2876,54.3,29.2
174,cup,14.85,28.38,0.2704,51.9,29.2
175,cup,14.84,24.04,0.2883,48.5,29.2
176,cup,14.84,26.68,0.2755,55.1,29.2
177,cup,14.81,30.31,0.2768,50.3,29.2
178,cup,14.82,27.83,0.2717,53.2,29.2
179,cup,14.82,21.92,0.2658,49.5,29.2
180,cup,14.80,28.54,0.2535,54.2,29.2
181,cup,14.77,24.74,0.2583,51.4,29.2
182,cup,14.77,23.17,0.2770,55.0,29.2
183,cup,14.76,22.35,0.2540,51.8,29.2
184,cup,14.74,24.06,0.2427,53.3,29.2
185,cup,14.74,20.14,0.2014,54.0,29.2
186,cup,14.75,27.72,0.2322,58.4,29.2
187,cup,14.75,21.05,0.2130,48.5,29.2
188,cup,14.76,18.90,0.1942,53.7,29.2
189,cup,14.76,26.52,0.2115,53.6,29.2
190,cup,14.71,34.26,0.1632,57.7,29.2
191,cup,14.73,21.57,0.1138,61.1,29.2
192,cup,14.74,22.85,0.1424,54.8,29.2
193,pitcher,14.75,22.77,0.1052,51.5,29.2
194,coffeepot,14.75,24.00,0.0757,59.6,29.2
195,coffeepot,14.75,23.62,0.1333,54.0,29.2
196,coffeepot,14.77,22.62,0.0373,56.8,29.2
197,coffeepot,14.78,22.85,0.0388,53.0,29.2
198,coffeepot,14.80,20.93,0.0393,57.1,29.2
199,swab,14.81,22.38,0.0389,50.6,29.2
200,table lamp,14.82,21.66,0.0382,56.4,29.2
201,toaster,14.84,21.98,0.0569,54.2,29.2
202,syringe,14.85,24.29,0.0377,55.8,29.2
203,syringe,14.85,21.71,0.0450,52.3,29.2
204,ladle,14.83,21.50,0.0451,54.3,29.2
205,ladle,14.80,20.64,0.0512,50.0,29.2
206,ladle,14.77,26.35,0.0900,47.9,29.2
207,ladle,14.77,18.75,0.0778,52.4,29.2
208,ladle,14.75,21.76,0.0586,50.0,29.2
209,ladle,14.72,19.71,0.0696,51.6,29.2
210,ladle,14.70,20.89,0.0743,52.3,29.2
211,ladle,14.67,18.46,0.0917,48.4,29.2
212,ladle,14.66,22.48,0.0869,55.1,29.2
213,ladle,14.65,19.89,0.0876,48.6,29.2
214,ladle,14.57,21.94,0.0872,50.0,29.2
215,ladle,14.55,21.71,0.0579,50.0,29.2
216,ladle,14.53,21.57,0.0583,53.2,29.2
217,ladle,14.47,30.19,0.0945,53.6,29.2
218,swab,14.48,20.07,0.0462,56.1,29.2
219,mouse,14.44,21.02,0.0443,50.0,29.2
220,swab,14.36,24.77,0.0706,48.4,29.2
221,ladle,14.37,23.32,0.0476,49.5,29.2
222,pill bottle,14.36,21.21,0.0341,54.8,29.2
223,perfume,14.36,24.39,0.0474,53.8,29.2
224,perfume,14.35,24.00,0.0831,49.6,29.2
225,perfume,14.35,21.43,0.0846,52.0,29.2
226,perfume,14.34,32.97,0.0996,52.0,29.2
227,perfume,14.35,21.13,0.0912,54.3,29.2
228,face powder,14.34,28.97,0.1755,51.6,29.2
229,perfume,14.34,28.66,0.0793,52.2,29.2
230,perfume,14.33,24.10,0.0747,53.2,29.2
231,perfume,14.33,24.04,0.0907,52.2,29.2
232,perfume,14.32,23.27,0.0838,49.6,29.2
233,perfume,14.33,21.68,0.0765,54.3,29.2
234,perfume,14.32,31.05,0.0905,53.0,29.2
235,perfume,14.32,25.33,0.1004,53.1,29.2
236,perfume,14.30,23.81,0.0985,52.4,29.2
237,perfume,14.31,23.31,0.0745,55.7,29.2
238,perfume,14.32,23.78,0.1143,54.9,29.2
239,perfume,14.29,22.97,0.0892,51.9,29.2
240,perfume,14.30,18.81,0.1124,50.5,29.2
241,perfume,14.29,23.52,0.1027,51.9,29.2
242,perfume,14.29,19.58,0.1044,52.8,29.2
243,perfume,14.28,25.41,0.0939,53.0,29.2
244,perfume,14.27,22.87,0.1285,58.8,29.2
245,perfume,14.27,27.66,0.0996,54.7,29.2
246,perfume,14.27,24.47,0.1146,55.4,29.2
247,perfume,14.28,23.94,0.1730,55.4,29.2
248,perfume,14.23,24.76,0.1418,50.5,29.2
249,perfume,14.25,22.83,0.1935,61.6,29.2
250,perfume,14.11,24.56,0.1135,45.8,29.2
251,perfume,14.12,18.54,0.1470,53.3,29.2
252,perfume,14.12,24.63,0.0854,51.8,29.2
253,perfume,14.13,20.08,0.1255,52.4,29.2
254,perfume,14.11,19.00,0.0948,53.2,29.2
255,perfume,14.11,19.81,0.1109,51.1,29.2
256,perfume,14.12,19.43,0.0876,55.9,29.2
257,perfume,14.13,22.89,0.1022,55.6,29.2
258,perfume,14.10,21.49,0.1173,48.2,29.2
259,perfume,14.11,21.92,0.1270,57.6,29.2
260,perfume,14.11,23.34,0.1346,53.8,29.2
261,perfume,14.11,20.59,0.1938,49.1,29.2
262,perfume,14.10,19.95,0.2559,49.3,29.2
263,perfume,14.09,22.38,0.2187,56.6,29.2
264,perfume,14.09,19.17,0.2702,51.0,29.2
265,perfume,14.10,21.16,0.2443,53.7,29.2
266,perfume,14.08,21.37,0.2620,49.6,29.2
267,perfume,14.08,27.80,0.2873,50.4,29.2
268,perfume,14.08,21.51,0.2597,57.6,29.2
269,perfume,14.07,30.54,0.2505,59.1,29.2
270,perfume,14.07,23.73,0.3180,55.6,29.2
271,perfume,14.07,29.94,0.2764,54.1,29.2
272,perfume,14.06,24.12,0.2536,52.0,29.2
273,perfume,14.07,27.69,0.2356,53.3,29.2
274,perfume,14.05,22.01,0.2279,53.2,29.2
275,perfume,14.06,25.54,0.1722,50.0,29.2
