experiment_start,2025-05-27 02:52:23
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,nematode,12.32,41.71,0.0376,9.6,28.5
2,television,8.55,34.17,0.0525,51.7,29.2
3,television,9.23,18.41,0.0395,49.0,29.2
4,hook,10.33,16.52,0.0240,49.0,29.2
5,letter opener,9.32,15.69,0.1234,50.6,29.3
6,brass,7.82,16.08,0.1724,43.1,29.3
7,cleaver,7.79,16.24,0.0370,45.7,29.3
8,ocarina,7.37,21.92,0.6820,49.7,29.3
9,ocarina,6.94,17.77,0.7486,55.5,28.6
10,ocarina,7.08,16.35,0.9695,47.6,28.6
11,ocarina,7.17,16.28,0.7512,46.6,28.6
12,saltshaker,7.27,15.78,0.4606,45.0,28.6
13,ocarina,7.48,14.38,0.6668,48.2,28.6
14,ocarina,7.65,15.49,0.5046,46.5,28.6
15,ocarina,7.89,15.04,0.6207,51.2,28.6
16,ocarina,8.01,14.37,0.8304,45.2,28.6
17,ocarina,8.26,14.18,0.9431,47.4,28.6
18,ocarina,8.40,18.05,0.8581,49.6,28.6
19,ocarina,8.50,16.61,0.8503,48.6,28.6
20,ocarina,8.69,16.51,0.4960,50.5,28.6
21,ocarina,8.84,18.68,0.6168,46.9,28.6
22,ocarina,9.06,15.07,0.7169,48.8,28.6
23,ocarina,9.17,19.66,0.7582,51.9,28.6
24,ocarina,9.27,18.77,0.8050,49.6,28.6
25,ocarina,9.45,16.86,0.7851,55.7,28.6
26,ocarina,9.65,18.69,0.8008,50.0,28.6
27,ocarina,9.78,17.55,0.8125,45.9,28.6
28,ocarina,9.85,15.83,0.8492,51.5,28.6
29,ocarina,9.97,17.53,0.8114,46.6,28.6
30,ocarina,10.06,21.10,0.8512,53.5,28.6
31,ocarina,10.12,15.52,0.8562,47.6,28.6
32,ocarina,10.13,22.11,0.8461,45.6,28.6
33,ocarina,10.29,21.25,0.8787,54.4,28.7
34,ocarina,9.92,18.80,0.8658,45.7,28.6
35,ocarina,9.87,19.61,0.8561,49.5,28.6
36,ocarina,9.86,15.85,0.8441,50.5,28.6
37,ocarina,9.83,15.35,0.8648,46.4,28.6
38,ocarina,9.88,19.38,0.8327,48.1,28.6
39,ocarina,9.94,16.37,0.8465,49.2,28.6
40,ocarina,9.93,15.34,0.8354,46.3,28.6
41,ocarina,9.93,15.94,0.8454,47.2,28.6
42,ocarina,10.03,14.42,0.8240,49.5,28.6
43,ocarina,10.13,14.37,0.8414,53.2,28.6
44,ocarina,10.23,14.90,0.8593,49.5,28.6
45,ocarina,10.24,20.11,0.8299,54.1,29.4
46,ocarina,10.10,21.21,0.8351,55.8,31.1
47,ocarina,9.96,20.97,0.8144,54.3,32.3
48,ocarina,9.97,18.94,0.8379,51.6,28.8
49,ocarina,10.07,20.61,0.8667,52.6,28.8
50,ocarina,10.18,23.29,0.8476,51.3,28.8
51,ocarina,9.98,18.99,0.8429,45.3,28.8
52,ocarina,9.84,17.88,0.8547,47.4,28.8
53,ocarina,9.69,18.04,0.8089,46.5,28.8
